# N  = 2223
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 20833407 60001597
1 1 20820380 60001253
2 1 21022671 60001527
3 1 20742566 60001471
4 1 20815363 60001343
5 1 20698480 60003614
6 1 20935848 60001543
7 1 20783811 60000616
8 1 20656664 60001605
9 1 20896724 60002183
10 1 20774773 60000384
11 1 20860433 60001410
12 1 20925637 60000559
13 1 20660900 60001167
14 1 20884434 60000641
15 1 20937801 60000186
16 1 20822960 60003250
17 1 20872303 60000879
18 1 20731622 60000938
19 1 20797934 60000861
