# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 1
#
# run	success	duration[mus]	usedNa
0	0	19917685	0
1	1	769286	498
2	1	4476458	2423
3	1	4096686	2673
4	0	15430123	0
5	0	19681459	0
6	1	293309	189
7	1	4281466	2746
8	0	20465227	0
9	0	22730784	0
10	0	20458056	0
11	0	20011040	0
12	0	21336881	0
13	0	20936482	0
14	0	15432931	0
15	1	5594460	2527
16	1	5291690	2694
17	0	20198277	0
18	1	1577332	1035
19	0	22348643	0
20	0	21209553	0
21	0	21382947	0
22	0	20355854	0
23	0	21520685	0
24	1	1110730	589
25	0	21001584	0
26	1	2937647	1913
27	0	19395595	0
28	1	6644153	3576
29	0	20517839	0
30	0	15402809	0
31	1	15664450	8272
32	1	10036038	4535
33	0	19967877	0
34	1	1810343	979
35	1	3009777	1954
36	0	18791192	0
37	0	21418408	0
38	0	20423288	0
39	0	18661459	0
40	1	5729769	2732
41	0	19501888	0
42	0	18698989	0
43	1	4297024	2815
44	0	19889699	0
45	1	4084354	1323
46	0	15491842	0
47	0	22790401	0
48	0	21674680	0
49	0	22770921	0
50	1	16860338	7906
51	0	19434968	0
52	0	20684910	0
53	0	19975220	0
54	0	19481907	0
55	1	16339408	9206
56	0	19730107	0
57	0	20019357	0
58	0	20631687	0
59	0	21606289	0
60	0	15439864	0
61	0	19713025	0
62	0	22015320	0
63	0	20871548	0
64	1	6656318	4361
65	0	22498364	0
66	0	19829015	0
67	0	21159949	0
68	0	20541018	0
69	0	20442938	0
70	1	7043277	4629
71	0	21285709	0
72	0	19674111	0
73	1	12399418	7291
74	0	22102008	0
75	1	21896188	9384
76	1	7838228	5143
77	0	21508362	0
78	1	18240191	6954
79	0	21297248	0
80	0	19785626	0
81	0	20318589	0
82	0	19366007	0
83	1	11122293	7296
84	0	22862328	0
85	0	18732339	0
86	0	15414313	0
87	0	21294486	0
88	1	3169620	2022
89	1	6296699	3752
90	0	20370466	0
91	0	20640341	0
92	1	11759489	4891
93	0	21119022	0
94	0	22679851	0
95	0	21373030	0
96	0	21363885	0
97	1	2631617	1724
98	1	13444205	8827
99	0	22825051	0
100	0	22510679	0
101	0	22856169	0
102	0	22853859	0
103	1	13002277	8540
104	1	14754361	8931
105	0	20659589	0
106	1	14501634	6236
107	0	19931928	0
108	0	21521638	0
109	1	15498640	6220
110	0	20437530	0
111	0	19847570	0
112	0	20280711	0
113	1	8214557	2872
114	1	1403768	911
115	0	21681660	0
116	0	21735132	0
117	1	7121291	4641
118	0	19135777	0
119	0	19729861	0
120	1	1187406	773
121	1	8704229	5678
122	0	21909204	0
123	1	1223461	795
124	1	667983	414
125	1	13948475	7582
126	0	18885299	0
127	0	15434769	0
128	1	8320024	5481
129	1	4415078	2215
130	0	19070780	0
131	0	19786642	0
132	0	21484842	0
133	0	19973818	0
134	1	7545717	4931
135	0	20385978	0
136	0	19681065	0
137	1	347276	217
138	0	15442098	0
139	0	20020527	0
140	1	13727449	7233
141	0	18988027	0
142	1	16557385	9005
143	0	19186508	0
144	0	19794317	0
145	0	20344649	0
146	1	6118826	3979
147	1	5347218	3490
148	0	19081143	0
149	0	19630625	0
150	0	15449840	0
151	0	18766167	0
152	0	18949935	0
153	0	15432035	0
154	0	15426498	0
155	1	15186714	9904
156	1	14563388	7465
157	0	20650551	0
158	0	19653682	0
159	0	18971309	0
160	1	9009785	4885
161	1	1824268	927
162	0	15501439	0
163	0	19418218	0
164	1	12420749	6729
165	0	21891240	0
166	0	19727198	0
167	1	4866233	2925
168	0	19295680	0
169	1	3236404	1558
170	1	3366999	2187
171	1	1803989	1114
172	0	15485800	0
173	1	3132523	1423
174	0	20036221	0
175	1	4375359	2844
176	0	18783134	0
177	0	20920783	0
178	1	3578352	2015
179	0	15426178	0
180	1	1713036	941
181	0	18580941	0
182	0	19204320	0
183	0	20512196	0
184	1	9527813	5491
185	0	19535491	0
186	0	20317508	0
187	0	19088254	0
188	0	19474735	0
189	1	9286240	6081
190	0	19663454	0
191	1	9213805	5998
192	1	21716883	9910
193	0	20455560	0
194	0	19483618	0
195	1	17348369	8727
196	0	18518111	0
197	0	19437500	0
198	1	1661569	1061
199	0	19309025	0
200	1	11185688	7250
201	1	5776612	2710
202	1	4855714	3154
203	0	19274820	0
204	0	15420038	0
205	1	6451544	4177
206	1	13282579	7358
207	1	1558264	997
208	1	10394568	6762
209	1	14788637	9632
210	1	15315749	9974
211	0	21792916	0
212	1	11190984	5448
213	0	19330324	0
214	0	22017622	0
215	1	1399589	543
216	1	408128	265
217	0	20691237	0
218	0	19771965	0
219	0	19771050	0
220	1	5234155	3427
221	0	21468850	0
222	0	20394816	0
223	1	6699298	4414
224	1	15499104	8019
225	0	18664074	0
226	0	15419837	0
227	0	19613366	0
228	0	19188984	0
229	0	19425130	0
230	0	15502927	0
231	1	14100651	7159
232	0	19371911	0
233	0	19942410	0
234	0	21283930	0
235	0	19925983	0
236	0	20590198	0
237	0	22432246	0
238	0	19232143	0
239	0	21050124	0
240	0	22377866	0
241	1	16924977	8751
242	0	19149600	0
243	0	21703163	0
244	0	15430679	0
245	0	20779665	0
246	1	5919322	3900
247	0	20580900	0
248	1	270538	175
249	0	18720587	0
250	0	15580065	0
251	1	580680	377
252	1	1498798	973
253	0	19304920	0
254	0	18749023	0
255	0	21675315	0
256	0	19091981	0
257	0	20212304	0
258	0	20875449	0
259	0	19124604	0
260	0	18854094	0
261	0	19668168	0
262	0	19835555	0
263	1	13118024	8543
264	0	19771509	0
265	0	22621972	0
266	0	19765006	0
267	1	10577361	6886
268	0	19815308	0
269	0	20090009	0
270	0	15407026	0
271	0	20398928	0
272	1	6740832	4447
273	0	19817558	0
274	0	19228733	0
275	0	21892763	0
276	1	8436027	4716
277	0	20313302	0
278	1	264761	171
279	1	10724743	5317
280	0	19961715	0
281	1	10916173	6836
282	0	15414522	0
283	0	19743567	0
284	1	9603517	6255
285	0	21768965	0
286	1	3799721	2478
287	0	20308048	0
288	0	15416441	0
289	0	19762146	0
290	0	20258566	0
291	0	19722328	0
292	0	18435118	0
293	0	19150071	0
294	0	19840640	0
295	0	19663146	0
296	0	18868215	0
297	0	19450945	0
298	0	21259020	0
299	0	19960088	0
300	1	6049831	3078
301	0	19748491	0
