# N  = 783061
# Nc = 500
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	22235511	32780965
1	0	54221099	0
2	1	26071527	32809575
3	1	22245121	32770185
4	1	22545011	32793618
5	1	22259778	32766415
6	0	49197262	0
7	1	22155065	32781188
8	0	53565508	0
9	1	22279670	32841861
10	1	22415907	32811570
11	1	22312235	32812433
12	1	26664305	32800441
13	1	22228824	32754105
14	1	23553700	32774488
15	1	22292974	32763572
16	0	52258334	0
17	1	22461212	32950337
18	0	54147525	0
19	1	22298908	32791604
