# N  = 713
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 15.7331
#
# run	success	duration[mus]	usedSteps
0	1	6617708	18500040
1	1	6682491	18500068
2	1	6524211	18500024
3	1	6634836	18500066
4	1	6564221	18500000
5	1	6644595	18500083
6	1	6533837	18500129
7	1	6586203	18500000
8	1	6625118	18500009
9	1	6622093	18500016
10	1	6608011	18500000
11	1	6616495	18500036
12	1	6595334	18500022
13	1	6564313	18500000
14	1	6566682	18500158
15	1	6661647	18500029
16	1	6684600	18500197
17	1	6620207	18500006
18	1	6613932	18500000
19	1	6546446	18500060
