# N  = 56850
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 61.1343
#
# run	success	duration[mus]	usedSteps
0	1	1916475	4520242
1	1	3601553	4501349
2	1	3634387	4503211
3	1	2409371	4500472
4	1	3646648	4501672
5	1	3610250	4513913
6	1	1874565	4514558
7	1	1882176	4500050
8	1	1863569	4514898
9	1	1803414	4501867
10	1	1880690	4523558
11	1	2024617	4516975
12	1	1833731	4500009
13	1	1809176	4503696
14	1	2962652	4506243
15	1	3579230	4511453
16	1	3600646	4504799
17	1	1995287	4510880
18	1	3599987	4516529
19	1	3512869	4515411
