# N1 = 999999929
# N2 = 999999927
# N  = 999999856000005183
# Nc = 1500000
# Na = 600
# Fc = 0.997
# kB = 3016.26
#
# run	success	duration[mus]	usedNa
0	0	653476800	0
1	0	724343817	0
2	0	679362721	0
3	0	791193199	0
4	0	653375261	0
5	0	702039906	0
6	0	828278938	0
7	0	809702018	0
8	0	662009496	0
9	0	760278233	0
10	0	782737025	0
11	0	763548376	0
12	0	668085881	0
13	0	737330102	0
14	0	801421517	0
15	0	792655674	0
16	0	670952255	0
17	0	703328163	0
18	0	726729243	0
19	0	766767877	0
20	0	734384314	0
21	0	793647063	0
22	0	734576850	0
23	0	788339951	0
24	0	729489313	0
25	0	653564466	0
26	0	720532364	0
27	0	791789690	0
28	0	687752074	0
29	0	653526531	0
30	0	666680712	0
31	0	674825586	0
32	0	653690170	0
33	0	822158273	0
34	0	806940363	0
35	0	798816050	0
36	0	797121597	0
37	0	743992572	0
38	0	653721461	0
39	0	655915608	0
40	0	797330520	0
41	0	654227319	0
42	0	654511672	0
43	0	658991867	0
44	0	657094133	0
45	0	679801762	0
46	0	679710128	0
47	0	653500611	0
48	0	727176478	0
49	0	792869319	0
