# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 125
#
# run	success	duration[mus]	usedNa
0	0	15709197	0
1	0	19579457	0
2	0	20408345	0
3	0	20021104	0
4	0	19875179	0
5	0	15639661	0
6	0	19588029	0
7	0	20131807	0
8	0	15635178	0
9	0	20311761	0
10	0	22253838	0
11	0	21181843	0
12	0	21840010	0
13	0	21619819	0
14	0	22044977	0
15	0	22965385	0
16	0	22492291	0
17	0	21758576	0
18	0	20505129	0
19	0	21130591	0
20	0	22581509	0
21	0	19523539	0
22	0	20059653	0
23	0	19643076	0
24	0	15775529	0
25	0	21826424	0
26	0	21376052	0
27	0	16030818	0
28	0	19609249	0
29	0	19526661	0
30	0	19228887	0
31	0	15715415	0
32	0	19394752	0
33	0	15141402	0
34	0	18892145	0
35	0	18830068	0
36	0	19495346	0
37	0	19293839	0
38	0	20115279	0
39	0	19768364	0
40	0	19358212	0
41	0	15582555	0
42	0	18554075	0
43	0	19232764	0
44	1	33105	124
45	0	18445031	0
46	0	19241036	0
47	0	19245594	0
48	0	19920447	0
49	0	15660738	0
50	0	20395407	0
51	0	15605021	0
52	0	19731976	0
53	0	21441696	0
54	0	18507590	0
55	0	15595425	0
56	0	22077261	0
57	0	20014588	0
58	0	19107546	0
59	0	21762434	0
60	0	20325185	0
61	0	22523596	0
62	0	19986464	0
63	0	22057762	0
64	0	22697262	0
65	0	16003912	0
66	0	20584471	0
67	0	19735425	0
68	0	19057292	0
69	0	20473979	0
70	0	15831270	0
71	0	19911040	0
72	0	19630906	0
73	0	19537925	0
74	0	19796288	0
75	0	15574798	0
76	0	20403008	0
77	0	15512305	0
78	0	20137818	0
79	0	15558158	0
80	0	15578464	0
81	0	19392991	0
82	0	19655934	0
83	0	19597743	0
84	0	20234058	0
85	0	15441298	0
86	0	20720581	0
87	0	19385817	0
88	0	19513957	0
89	0	20666483	0
90	0	15507814	0
91	0	21085289	0
92	0	19235680	0
93	0	20272907	0
94	1	16122	25
95	0	19893660	0
96	0	19091780	0
97	0	21733237	0
98	0	20115558	0
99	0	22097158	0
100	0	21340004	0
101	0	19396863	0
102	0	22853102	0
103	0	20288997	0
104	0	21125078	0
