# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 15381.7
#
# run	success	duration[mus]	usedNa
0	1	2374848	12440
1	0	19855794	0
2	0	19505188	0
3	1	3215012	14868
4	1	1806605	8355
5	1	2495667	11577
6	0	19445584	0
7	0	15505707	0
8	0	19885659	0
9	1	2230158	10346
10	0	19013307	0
11	1	1508054	6958
12	1	2071127	9534
13	1	1961623	9093
14	0	19754257	0
15	1	3357971	15548
16	1	1889071	8762
17	0	15880904	0
18	1	1437951	7566
19	1	2535914	11766
20	1	2791171	12874
21	1	1941839	9003
22	1	2109592	9770
23	0	20865433	0
24	1	2432847	11276
25	0	19424644	0
26	1	1609590	7467
27	1	1994721	9248
28	0	18391546	0
29	1	1650524	7641
30	0	20076916	0
31	0	21067979	0
32	1	2177015	10072
33	0	18513984	0
34	0	15492680	0
35	1	2110270	9783
36	0	18748661	0
37	0	19350734	0
38	1	1245478	5710
39	0	21851791	0
40	1	1650753	7630
41	1	421231	1941
42	1	1781097	8258
43	1	3261228	15114
44	0	18871411	0
45	0	19560313	0
46	0	20660275	0
47	1	1643519	8642
48	1	1175631	5453
49	1	1830115	8489
50	0	20297673	0
51	1	1808568	8366
52	0	20088963	0
53	1	1635037	7561
54	1	2120566	9840
55	0	22291296	0
56	0	20575024	0
57	0	21606577	0
58	0	22358399	0
59	0	22277962	0
60	1	1726439	9059
61	1	1728115	7995
62	0	19426293	0
63	1	1349476	6236
64	0	19219904	0
65	1	2902143	13427
66	0	18959391	0
67	0	22003239	0
68	0	15642854	0
69	0	21959694	0
70	0	20693045	0
71	0	15503237	0
72	0	22783665	0
73	1	1770774	8171
74	0	18815718	0
75	1	1045639	4812
76	0	20611005	0
77	0	15934803	0
78	1	1496794	6877
79	0	19325612	0
80	0	20220609	0
81	0	19880269	0
82	0	21858214	0
83	0	22260802	0
84	0	19722129	0
85	0	19216761	0
86	1	1754038	9224
87	1	1364138	6315
88	1	1994303	9253
89	1	1340557	6180
90	0	21782226	0
91	1	2020074	9348
92	1	2360759	10933
93	1	1770569	8203
94	0	19015775	0
95	1	1534958	7040
96	1	1767426	8192
97	0	15227485	0
98	0	19373513	0
99	0	19406588	0
100	0	18871389	0
101	1	2104176	9749
102	1	1792251	8312
103	0	21175216	0
104	0	18890777	0
105	0	19040427	0
106	0	19616413	0
107	1	1564536	7196
108	0	22363674	0
109	0	21692700	0
110	1	2163812	10026
111	0	22198449	0
112	0	20839627	0
113	0	20051168	0
114	1	1604200	8374
115	0	15607906	0
116	0	20409244	0
117	0	21672528	0
118	1	1807692	9492
119	0	15624016	0
120	0	15559503	0
121	1	2676636	12421
122	1	1973613	9147
123	1	1460510	6738
124	1	2199404	10204
125	0	22356084	0
126	0	15667874	0
127	1	2904964	13449
128	1	714347	3298
129	0	19076360	0
130	0	15722526	0
131	0	20384118	0
132	0	18978510	0
133	0	18418649	0
134	0	21402120	0
135	1	2028488	9382
136	0	15709368	0
137	0	15582299	0
138	1	1778389	8233
139	1	1704393	8948
140	1	1881167	8684
141	1	1951465	9034
142	0	20329133	0
143	0	21942619	0
144	0	20746647	0
145	1	1939179	8963
146	1	2990525	13793
147	0	19441071	0
148	0	19225123	0
149	0	15647586	0
150	0	20164252	0
151	0	20978364	0
152	1	1844648	8537
153	1	1586926	7372
154	0	20277540	0
155	0	19212824	0
156	0	20334541	0
157	0	21110712	0
158	1	1916466	8861
159	1	1662654	7710
160	0	18916617	0
161	0	18669448	0
162	1	2303542	10656
163	0	19057070	0
164	0	19978484	0
165	1	2223524	10308
166	0	18610786	0
167	1	1915271	10065
168	0	15726597	0
169	1	2165910	10037
170	0	19251227	0
171	1	1908983	8810
172	0	22113723	0
173	0	21014637	0
174	1	472874	2143
175	0	19658989	0
176	1	2039052	9418
177	1	1783437	8273
178	0	20243685	0
179	0	19428808	0
180	1	553552	2553
181	1	2090505	9678
182	1	1945491	9013
183	0	19075795	0
184	0	20318233	0
185	0	16331535	0
186	0	20148680	0
187	0	19119039	0
188	0	19308858	0
189	1	1839000	8503
190	0	18296790	0
191	0	21978852	0
192	0	15473088	0
193	1	2146459	9956
194	1	1566005	7259
195	1	1875773	9866
196	0	19172989	0
197	0	19090650	0
198	1	1418618	6556
199	0	19246498	0
200	1	1956675	9066
201	1	1768364	8206
202	1	1990711	9222
203	0	18687269	0
204	0	15344110	0
205	1	2009744	9322
206	0	19590008	0
207	1	1356868	6277
208	1	1746837	8052
209	1	2707559	12515
210	1	2367505	12462
211	1	2714004	12589
212	1	1564421	7247
213	1	2299075	10667
214	0	18798580	0
215	1	1555462	7217
216	1	1701286	7884
217	0	20803173	0
218	0	19781443	0
219	1	1835426	8084
220	1	1564432	7152
221	0	20939390	0
222	0	19723767	0
223	1	1848716	8498
224	0	19197180	0
225	0	18830557	0
226	0	20640314	0
227	1	2011961	9228
228	1	2231359	10277
229	1	1865677	8592
230	1	1101646	5019
231	1	1699660	7844
232	1	1628707	7500
233	1	2754620	12687
234	1	1929672	8897
235	0	18945104	0
236	0	15614791	0
237	1	3332220	15330
238	0	15272166	0
239	0	22362339	0
240	1	3360300	15477
241	0	15511508	0
242	0	20929217	0
243	0	15382989	0
244	1	1556160	7148
245	0	20085178	0
246	1	1513167	6939
247	1	2033259	10735
248	0	21379367	0
249	1	1807473	8323
250	0	19055093	0
251	0	20910009	0
252	1	1688880	8867
253	1	2566045	11836
254	1	1583146	7299
255	1	1902415	8774
256	1	1616569	7373
257	0	19314017	0
258	0	18724321	0
259	1	865408	3974
260	0	20683030	0
261	1	1501008	6884
262	0	15579702	0
263	1	1651939	7609
264	0	21068380	0
265	1	1973596	9084
266	1	1526247	7046
267	0	22060248	0
268	0	22354926	0
269	0	20568701	0
270	1	1877913	8625
271	1	2668887	12277
272	1	1773352	8173
273	1	2207614	10177
274	0	18782742	0
275	1	1396371	6430
276	1	797202	3664
277	1	2009202	9269
278	0	22033399	0
279	0	18328612	0
280	0	19264271	0
281	0	20274336	0
282	0	20445248	0
283	1	1738415	8003
284	0	22091534	0
285	1	2506541	11541
286	0	20072442	0
287	0	22162892	0
288	1	3591859	16563
289	0	20832610	0
290	0	21181118	0
291	0	15704463	0
292	0	22071602	0
293	0	21816551	0
294	1	545834	2486
295	0	22150765	0
296	1	2865248	13227
297	1	3562756	16395
298	1	2112620	9742
299	1	1837406	8479
300	1	739706	3407
301	0	20558756	0
302	1	1333159	6125
303	0	20060876	0
304	0	20205082	0
305	0	19853564	0
306	1	1506074	7925
307	1	2219360	10286
308	0	18972851	0
309	0	19189272	0
310	0	20293564	0
311	0	20030978	0
312	0	21681489	0
313	1	1021652	4709
314	1	3204253	14835
315	0	20895710	0
316	0	18694532	0
317	1	1712050	7937
318	0	22247690	0
319	1	1542493	7154
320	0	19887763	0
321	1	1914029	8874
322	1	1237080	5734
323	1	1694023	7856
324	0	15861074	0
325	0	22235972	0
326	1	1454488	6709
327	0	20449294	0
328	1	1976500	9156
329	1	1389922	6437
330	1	1646591	7622
331	0	19768911	0
332	1	1925013	8898
333	1	1804292	8362
334	1	1856975	8603
335	0	15596008	0
336	0	19032378	0
337	1	2377885	11000
338	1	1565320	7253
339	0	19543122	0
340	0	19320416	0
341	0	19080777	0
342	1	1690646	7816
343	0	19475152	0
344	1	1578008	7318
345	0	19252155	0
346	1	1630974	7531
347	0	22183318	0
348	0	20389359	0
349	0	20965927	0
350	0	22391437	0
351	1	1127511	5182
352	1	2610833	12100
353	0	20587208	0
354	0	21209865	0
355	0	20797489	0
356	0	21426910	0
357	1	1695881	7805
358	0	19622140	0
359	0	19063722	0
360	1	1395460	6454
361	0	21727801	0
362	0	21024147	0
363	1	1373038	6337
364	0	18796707	0
365	0	20068390	0
366	1	2073299	9608
367	0	21734209	0
368	0	20940257	0
369	1	1841865	9695
370	0	18994415	0
371	1	1883740	8720
372	1	1921285	8889
373	1	1285770	5954
374	1	1693725	7836
375	0	18885171	0
376	0	19162414	0
377	0	18672081	0
378	0	15472681	0
379	0	18996615	0
380	0	21515220	0
381	0	20647613	0
382	0	19185364	0
383	0	20465286	0
384	0	21835249	0
385	0	20251131	0
386	1	1442804	7594
387	0	19131714	0
388	1	2204986	10156
389	0	19706863	0
390	0	19267409	0
391	1	1798205	8279
392	1	1924346	8874
393	0	22936016	0
394	0	22089597	0
395	1	1595008	7321
396	0	15688048	0
397	0	22403524	0
398	0	19836439	0
399	1	1596388	7309
400	0	22085861	0
401	1	1931873	10182
402	0	22838381	0
403	1	1967842	9087
404	0	19695062	0
405	1	1734369	7984
406	1	3542290	16400
407	0	19562538	0
408	0	15169467	0
409	1	738655	3366
410	0	19970034	0
411	0	19880491	0
412	1	1776937	8164
413	0	19309008	0
414	0	19710994	0
415	0	22968080	0
416	1	1172953	5388
417	1	1127476	5198
418	0	21159753	0
419	1	125263	556
420	0	20033930	0
421	1	1434004	7520
422	1	1782487	8251
423	0	22175400	0
424	1	1612137	7456
425	1	260444	1190
426	1	387743	1759
427	0	18929025	0
428	1	1901520	8825
429	0	20422716	0
430	1	1636846	7571
431	1	2238199	10329
432	1	1934487	8955
433	0	19450433	0
434	0	20384854	0
435	1	1307564	6053
436	1	1472707	6810
437	1	1414361	6541
438	1	2189174	10155
439	0	19119656	0
440	1	2737522	12670
441	0	22490419	0
442	1	1729189	7946
443	0	19575009	0
444	1	1480002	6711
445	0	18647338	0
446	0	18670627	0
447	0	22009638	0
448	0	20580746	0
449	0	19087400	0
450	1	1650015	7624
451	0	22610424	0
452	0	20955196	0
453	0	15536003	0
454	1	2583578	11962
455	0	20189550	0
456	1	1474123	6812
457	0	19432202	0
458	1	4083167	18924
459	1	1858150	8612
460	0	21975063	0
461	1	996286	5199
462	0	21914752	0
463	0	22408415	0
464	1	1648294	7571
465	1	2043100	9428
466	1	1449948	6693
467	1	1509717	6989
468	1	1972517	9133
469	1	3016697	14010
470	0	18937962	0
471	1	1708278	7873
472	0	19257696	0
473	0	19305370	0
474	0	20104588	0
475	1	1453591	6714
476	1	2171411	10054
477	1	2103184	9731
478	1	1777829	8233
479	1	1571987	7273
480	1	349458	1584
481	0	18629614	0
482	1	2198027	10157
483	0	19985371	0
484	0	19324022	0
485	0	15868599	0
486	1	1832030	9643
487	0	20081669	0
488	1	1817767	8409
489	0	18892027	0
490	0	21156334	0
491	1	2629668	12121
492	1	2714334	12604
493	1	1882880	8708
494	1	3250114	15072
495	0	22056543	0
496	1	2019141	9346
497	1	1841056	9706
498	1	1817959	8419
499	1	1592117	8364
500	1	1437776	6663
501	0	22369053	0
502	1	3430919	15863
503	0	21293181	0
504	0	19775318	0
505	0	19972164	0
506	1	1627432	7539
507	0	19455914	0
508	1	1479513	6834
509	0	15491866	0
510	1	2078123	10928
511	0	19205680	0
512	0	20459171	0
513	1	2659671	12338
514	1	1142057	5288
515	1	2181916	10120
516	0	18725937	0
517	1	1509376	6999
518	0	15901523	0
519	0	19357312	0
520	1	1854866	9764
521	0	19846488	0
522	0	18633437	0
523	1	1876835	8698
524	0	20005591	0
525	0	18860453	0
526	1	1488000	6877
527	0	19945861	0
528	0	20155923	0
529	0	15604519	0
530	1	1262137	5820
531	1	1549108	7193
532	1	2469425	11448
533	1	1418131	6567
534	0	15643745	0
535	0	19364338	0
536	0	19061993	0
537	0	18804229	0
538	0	19105720	0
539	1	546552	2504
540	1	1867466	8601
541	1	1792665	9447
542	0	20287996	0
543	0	15656943	0
544	0	20208837	0
545	1	1503438	6923
546	1	1127431	5215
547	0	20547589	0
548	0	19908992	0
549	1	1947675	9019
550	1	840439	3880
551	0	18771752	0
552	0	20767485	0
553	0	19846772	0
554	0	19301369	0
555	0	19110547	0
556	0	16118083	0
557	0	19316103	0
558	0	18912379	0
559	1	1949510	10235
560	0	19936466	0
561	0	19696719	0
562	1	3101544	14315
563	1	1735933	8048
564	1	1716603	7943
565	1	1903401	8824
566	0	18347277	0
567	0	20761013	0
568	1	1767508	8181
569	0	20296695	0
570	0	19562623	0
571	1	1838660	8515
572	0	19985608	0
573	0	21937848	0
574	0	15612462	0
575	1	1788633	8269
576	0	20908228	0
577	0	19175275	0
578	0	19591830	0
579	1	2540403	11776
580	0	20430250	0
