# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 21952
#
# run	success	duration[mus]	usedNa
0	0	20687843	0
1	0	19493274	0
2	1	2133984	9831
3	1	2107143	9740
4	1	2092570	9672
5	0	19386887	0
6	1	2490909	11508
7	1	1232039	5694
8	1	2142210	9910
9	1	1791619	8272
10	1	1904062	8796
11	1	2242700	11797
12	0	19318185	0
13	1	2108213	9746
14	0	22187680	0
15	0	20723137	0
16	1	1927826	8883
17	1	1644456	7590
18	1	1414931	6536
19	0	20877019	0
20	0	21599807	0
21	1	2790468	12913
22	1	1893992	8762
23	0	19402733	0
24	0	22184929	0
25	0	15523818	0
26	1	1830076	8461
27	0	19589637	0
28	1	1911273	8823
29	1	2258869	10438
30	1	1815037	8399
31	1	2008473	9293
32	0	19807163	0
33	1	2780268	12854
34	1	1319520	6085
35	1	2075360	9586
36	0	22096855	0
37	1	2633851	12185
38	0	20251131	0
39	1	3968197	18440
40	0	20028454	0
41	1	2657813	12261
42	0	20027082	0
43	0	15433283	0
44	0	21631975	0
45	0	22923540	0
46	1	1998487	9243
47	0	21099427	0
48	1	1442809	6623
49	0	21006406	0
50	1	1359638	6282
51	1	2036267	9420
52	1	2672802	12368
53	0	19355461	0
54	1	1732103	7971
55	0	18876732	0
56	0	21507168	0
57	1	1862138	9788
58	1	2804021	12969
59	0	19778828	0
60	1	1778903	8237
61	1	1405122	6503
62	0	20417937	0
63	0	19944910	0
64	0	15836298	0
65	0	19672118	0
66	0	19661584	0
67	0	19224650	0
68	0	20421038	0
69	0	19832913	0
70	0	21564549	0
71	0	20143924	0
72	0	15398613	0
73	1	2708434	12515
74	0	19393545	0
75	1	2994135	13845
76	0	19396885	0
77	0	20187772	0
78	1	687579	3580
79	1	1945399	8994
80	1	2220548	10269
81	1	2344224	10831
82	0	20121872	0
83	0	15406606	0
84	0	19207949	0
85	1	1997454	9232
86	0	19459999	0
87	0	20961971	0
88	1	2353615	10864
89	0	19925696	0
90	1	2025030	9351
91	0	20276394	0
92	0	19431588	0
93	0	19281269	0
94	1	1855095	9750
95	0	19488179	0
96	0	18538011	0
97	0	18332396	0
98	1	2135004	9866
99	0	20114910	0
100	0	15478652	0
101	0	18485312	0
102	1	2126316	9824
103	0	19583512	0
104	1	1613665	7444
105	0	20476330	0
106	1	3518390	16224
107	0	19128467	0
108	1	2121848	9788
109	0	20405416	0
110	0	19433758	0
111	0	19405929	0
112	1	2215861	10191
113	0	17267912	0
114	1	2083068	9587
115	0	18683693	0
116	0	19381554	0
117	0	19929206	0
118	0	19826224	0
119	1	1763791	8129
120	0	19774052	0
121	1	1944441	8943
122	1	2526926	11638
123	0	20725473	0
124	0	19087733	0
125	0	18941042	0
126	0	20127417	0
127	1	1165805	5362
128	1	2190337	10078
129	1	2899482	13340
130	0	18742277	0
131	1	1373322	7207
132	1	1835913	8504
133	1	210674	950
134	0	19910346	0
135	0	19651669	0
136	0	15326111	0
137	1	3451648	15876
138	0	21060323	0
139	1	2032369	9391
140	0	19129319	0
141	1	2305094	10655
142	0	19264238	0
143	1	2884232	13359
144	0	15807576	0
145	0	19254036	0
146	0	21835440	0
147	1	1384565	6386
148	0	15602769	0
149	0	23012148	0
150	0	20593311	0
151	0	21368810	0
152	0	15527235	0
153	0	19152293	0
154	0	19808609	0
155	0	22128120	0
156	1	1449075	7608
157	0	19002450	0
158	1	2426855	11160
159	0	18665238	0
160	1	1884447	8662
161	0	19724198	0
162	0	20118443	0
163	1	2879703	13277
164	1	1957454	9024
165	0	20232993	0
166	0	22245736	0
167	0	21503736	0
168	0	21447970	0
169	0	19506235	0
170	0	20108702	0
171	0	19136779	0
172	0	15432273	0
173	0	22514194	0
174	0	20656017	0
175	0	19990409	0
176	1	1931795	10149
177	0	19587915	0
178	1	1786956	8197
179	1	2050150	10754
180	1	1808967	8300
181	0	22292558	0
182	0	19654837	0
183	0	21320753	0
184	1	2724067	12513
185	1	1385926	6376
186	1	1970563	9072
187	1	1713489	7873
188	0	19597659	0
189	0	19094527	0
190	1	1885372	8680
191	1	2163517	9960
192	0	20313898	0
193	1	2543329	11704
194	1	1656285	7614
195	1	2201900	10148
196	0	18846745	0
197	0	19231563	0
198	0	19732174	0
199	1	1772084	8149
200	1	1860631	8561
201	1	1943013	8948
202	1	2120237	9730
203	0	19552021	0
204	0	21145459	0
205	1	1557275	7153
206	0	20155378	0
207	0	18667574	0
208	1	2371483	10923
209	0	22819660	0
210	0	21904503	0
211	1	2336889	10742
212	1	2411597	11075
213	1	1139039	5233
214	0	22485312	0
215	0	22942413	0
216	1	1854519	8543
217	1	1324500	6106
218	1	2138505	9856
219	0	22564794	0
220	1	2068784	9435
221	1	2829811	13032
222	0	22702307	0
223	0	15444004	0
224	1	3753310	17262
225	0	20154557	0
226	0	15528980	0
227	0	20848556	0
228	0	19668372	0
229	0	20051465	0
230	0	15781470	0
231	0	18738444	0
232	0	21263367	0
233	1	2969601	13760
234	0	19273888	0
235	0	18904229	0
236	0	19262205	0
237	1	2662491	12302
238	0	18924687	0
239	1	2140791	9871
240	1	1851377	8553
241	1	630258	2913
242	0	18837471	0
243	0	19519154	0
244	0	19459120	0
245	0	20181379	0
246	0	15381108	0
247	1	3289835	15159
248	1	1900950	8792
249	1	650140	2990
250	0	22066142	0
251	0	19862995	0
252	1	1571416	7273
253	1	1814768	8354
254	0	18859208	0
255	0	18978380	0
256	0	21987918	0
257	1	3001199	13838
258	0	20531649	0
259	0	15595728	0
260	0	19578739	0
261	0	21981165	0
262	0	21398732	0
263	1	2413554	11168
264	1	2637225	12197
265	1	1872278	8625
266	1	3334148	15386
267	1	2258790	11869
268	1	2566365	11847
269	1	1849185	8554
270	1	2967633	13725
271	0	18864444	0
272	1	1755249	8103
273	0	18956694	0
274	1	1872694	9846
275	1	4530041	20834
276	1	3817090	17602
277	1	431990	1965
278	0	22935828	0
279	1	2085891	9580
280	1	2934749	13549
281	0	22617050	0
282	0	15429044	0
283	1	2276486	10455
284	0	20527450	0
285	1	2059558	9476
286	1	2270986	10456
287	1	1674191	7695
288	1	2309258	10632
289	0	19835387	0
290	0	19993020	0
291	1	1543183	7096
292	0	19528450	0
293	0	19132710	0
294	1	2208975	10138
295	0	15567588	0
296	1	1137660	5233
297	0	22037913	0
298	0	15217264	0
299	1	2183226	11452
300	0	20314490	0
301	1	3664277	16892
302	0	19926109	0
303	0	22335921	0
304	1	1878381	8479
305	1	2173039	10024
306	0	22476951	0
307	0	21243600	0
308	0	19226659	0
309	1	3351795	15418
310	1	2072490	9551
311	0	20715901	0
312	0	19984298	0
313	0	20713549	0
314	0	15453649	0
315	1	1571153	7265
316	0	18975915	0
317	0	19588101	0
318	1	2062856	9539
319	0	20050620	0
320	0	18240846	0
321	0	20381750	0
322	1	4152035	19168
323	1	1566368	7236
324	0	22363870	0
325	0	20840965	0
326	0	18769507	0
327	1	1746460	8063
328	1	1594696	7326
329	1	1723199	7977
330	0	19886407	0
331	1	2025088	9334
332	0	22598138	0
333	0	21819546	0
334	0	15573603	0
335	0	20186000	0
336	0	20650522	0
337	1	1575412	7259
338	0	19564623	0
339	1	1416672	6550
340	0	20758493	0
341	1	2039127	9410
342	1	1928754	8917
343	0	21034264	0
344	1	3192270	14796
345	1	1968816	9103
346	0	19014367	0
347	1	3075491	14184
348	1	1785230	8247
349	0	20317012	0
350	0	15617937	0
351	0	15610399	0
352	0	20681765	0
353	1	2734095	12599
354	0	19766357	0
355	1	3175147	14700
356	0	19582900	0
357	0	15487487	0
358	0	18915957	0
359	0	18845642	0
360	0	20671375	0
361	1	2240046	10341
362	0	19675951	0
363	0	19121266	0
364	1	1716641	7942
365	1	1734801	7960
366	0	18900409	0
367	0	18911541	0
368	1	1459219	6729
369	0	15608868	0
370	1	2934785	13550
371	1	2198915	10102
372	0	20030211	0
373	1	1936748	8908
374	0	18943345	0
375	1	2709582	12522
376	1	874667	4036
377	1	1130750	5232
378	0	20586149	0
379	1	2548962	11809
380	0	20545566	0
381	0	19873348	0
382	1	2434130	11263
383	1	1549278	7172
384	0	20972345	0
385	1	999458	4586
386	1	1815757	8404
387	0	20544924	0
388	0	15705952	0
389	1	2211265	10229
390	1	2738383	12680
391	1	1661906	7641
392	1	4001319	18476
393	1	2242028	10330
394	0	19011460	0
395	1	2427477	11159
396	1	1769423	8155
397	0	21136924	0
398	1	2216693	10193
399	1	529041	2423
400	0	21101772	0
401	0	19244639	0
402	0	15494869	0
403	1	1335267	6148
404	0	15365996	0
405	1	2179900	10020
406	0	19637192	0
407	1	1841388	8455
408	1	1730269	7968
409	1	1968663	9068
410	0	15650560	0
411	1	3117332	14331
412	1	2731192	12559
413	1	114755	514
414	1	2293333	10564
415	1	773992	4047
416	0	19971767	0
417	1	1725631	7920
418	1	1676833	7717
419	0	19275175	0
420	1	1848026	9723
421	0	19438069	0
422	0	18626623	0
423	0	18973810	0
424	1	950928	4367
425	0	21214099	0
426	0	21742016	0
427	0	22234891	0
428	1	2761145	12703
429	1	2049031	9478
430	1	2137190	9895
431	1	2022898	9339
432	1	2207425	10196
433	0	20829945	0
434	1	2869736	13286
435	0	18790447	0
436	1	2263840	10441
437	0	22679960	0
438	1	2913005	13480
439	1	2004581	9284
440	0	20609808	0
441	0	18911123	0
442	0	19656100	0
443	0	19250015	0
444	0	18746568	0
445	0	20024788	0
446	0	19512794	0
447	0	15817741	0
448	0	18966474	0
449	1	2501894	11551
450	0	20767314	0
451	0	19607201	0
452	0	19453476	0
453	0	19203340	0
454	1	2025465	9362
455	1	1451797	6719
456	0	19477861	0
457	0	19878702	0
458	1	1691449	7803
459	0	21259794	0
460	0	15474043	0
461	1	1810060	8370
462	1	1461772	6769
463	1	1389787	6421
464	1	1663201	7702
465	0	19578571	0
466	1	727641	3339
467	1	790850	3600
468	0	20870508	0
469	0	15615265	0
470	1	547764	2448
471	1	2091089	9666
472	1	2046856	9461
473	0	20968839	0
474	0	20153857	0
475	1	2188216	10123
476	1	2206899	10201
477	1	2511153	11633
478	1	1451667	7631
479	0	19314300	0
480	1	2023908	9339
481	1	1969937	9113
482	1	1823012	8410
483	0	18983372	0
484	0	19380274	0
485	0	19709159	0
486	1	2550255	11787
487	0	19053336	0
488	0	19344609	0
489	1	2860545	13220
490	1	875333	4020
491	0	20036617	0
492	1	1284916	5931
493	1	2122254	9806
494	1	2764774	12789
495	0	18856755	0
496	0	19055929	0
497	0	22804705	0
498	0	19636281	0
499	0	19060786	0
500	1	1500240	6915
501	1	854521	3936
502	0	20145655	0
503	1	1417727	6553
504	1	1931763	10164
505	0	18552586	0
506	1	1792337	8278
507	1	1931711	8923
508	1	1962997	9084
509	0	18876267	0
510	1	1799704	9435
511	1	2452564	11347
512	0	21606513	0
513	0	19205474	0
514	0	20748992	0
515	1	1783659	8239
516	1	2229751	10314
517	0	19348397	0
518	0	19569080	0
519	0	20102967	0
520	0	15849612	0
521	0	19033923	0
522	0	19530360	0
523	0	19387431	0
524	0	19829844	0
525	0	19187470	0
526	1	1723423	9039
527	0	18761674	0
528	1	2238910	10371
529	1	762309	3509
530	1	2186813	10111
531	1	1993696	9217
532	1	1086353	5023
533	0	18718234	0
534	1	1988709	9178
535	0	19920749	0
536	0	19325179	0
537	0	19550926	0
538	1	1882830	8692
539	1	2241660	10373
540	1	1814259	9212
541	0	19672685	0
542	1	1810716	8365
543	0	19508404	0
544	1	1945307	8965
545	0	21763537	0
546	0	19457511	0
547	0	18823385	0
548	0	21990130	0
549	1	1435855	6616
550	0	19187540	0
551	0	22084831	0
552	1	1352743	6236
553	0	20127031	0
554	1	1741280	8040
555	1	2154562	9948
556	0	21850938	0
557	0	20114633	0
558	0	20366351	0
559	0	19553922	0
560	0	19400124	0
561	0	18830443	0
562	0	20314271	0
563	1	2411674	11147
564	0	20131780	0
565	1	1583805	7307
566	0	19403458	0
567	0	19841314	0
568	1	2744569	12671
569	0	18951081	0
570	0	20328391	0
571	0	20854070	0
572	0	18857927	0
573	0	22017146	0
574	0	19565972	0
575	1	2061607	9509
576	0	19045664	0
577	1	1468131	6790
578	1	1750638	9199
579	1	2423803	11218
580	0	20009642	0
581	0	19944279	0
582	0	19240464	0
583	1	3152212	14614
584	0	19751073	0
585	1	2238875	10360
586	1	1856198	8602
587	0	18999752	0
588	1	1378985	6355
589	0	19229553	0
590	0	20767785	0
591	0	20249931	0
592	1	2196381	10144
593	0	20019556	0
594	0	18706516	0
595	0	19101633	0
596	1	2139223	9894
597	0	19449202	0
598	0	19039225	0
599	1	1294374	5980
600	0	21272725	0
601	0	19535933	0
602	0	20391431	0
603	0	19796956	0
604	0	19560386	0
605	1	1783513	8226
606	1	782689	3598
607	1	1956555	9023
608	1	2397306	11080
609	0	19430895	0
610	1	3210144	14837
611	1	2405573	11103
612	1	1370593	6302
613	0	19294100	0
614	1	2508995	11570
615	0	19316321	0
616	0	19858035	0
617	0	19630209	0
618	0	15743453	0
619	1	2046343	9453
620	1	1064281	4926
621	0	20577451	0
622	1	3185881	14726
623	1	1565550	7246
624	0	19486438	0
625	1	1912420	10038
626	1	2228472	10313
627	0	20179392	0
628	0	22083599	0
629	0	20597403	0
630	0	15359647	0
631	1	1275945	5892
632	0	19158891	0
633	0	19960022	0
634	0	18420446	0
635	0	21084952	0
636	1	3313476	15300
637	1	2518860	11629
638	1	1242196	5751
639	1	4278348	19818
640	0	19029986	0
641	0	20308131	0
642	0	15641269	0
643	0	19609307	0
644	1	2562331	11849
645	0	15596682	0
646	1	2750788	12727
647	0	20272293	0
648	0	20021004	0
649	1	2311063	10639
650	1	2077432	9599
651	0	19524210	0
652	0	21176632	0
653	1	1536072	7085
654	0	21260184	0
655	0	19165765	0
656	0	21858325	0
657	0	19603515	0
658	1	1721860	9035
659	0	20012257	0
660	0	19785298	0
661	0	19929891	0
662	1	2010579	9304
663	0	20502528	0
664	1	1862949	8604
665	0	21072834	0
666	0	18948984	0
667	1	1930480	8923
668	0	19496249	0
669	1	2022398	9297
670	1	2473692	11450
671	0	19459325	0
672	0	19954852	0
673	0	15657793	0
674	1	2478833	12957
675	0	18866988	0
676	1	2995511	13867
677	0	18566752	0
678	1	985194	4550
679	0	18455126	0
680	1	2892382	13363
681	0	18578758	0
682	1	1542872	7112
683	1	1082372	4944
684	1	402696	1852
685	0	18935731	0
686	0	19026055	0
687	0	19653328	0
688	1	2003018	9243
689	0	19408579	0
690	0	22241805	0
691	0	20303277	0
692	1	2136473	9858
693	1	1803171	9479
694	0	15663994	0
695	1	1911120	8829
696	0	20933296	0
697	1	2387740	11041
698	1	2603010	12044
699	0	20598273	0
700	0	19722877	0
701	0	22206509	0
702	0	20497629	0
703	1	3017029	13972
704	0	19851374	0
705	0	19444250	0
706	0	21451363	0
707	0	20584403	0
708	0	19489538	0
709	0	18899557	0
710	0	19632164	0
711	1	3458097	15937
712	0	19614330	0
713	1	2801685	12964
714	0	15657580	0
715	0	19282782	0
716	1	1634250	7545
717	1	2169103	10031
718	1	2500003	11564
719	0	20013181	0
720	0	21563932	0
721	1	1007312	4634
722	0	15748902	0
723	0	15565762	0
724	0	19945803	0
725	0	19584598	0
726	0	19621255	0
727	1	1939602	8932
728	0	19485746	0
729	0	19107377	0
730	1	1238231	6449
731	1	2241788	10377
732	0	19968331	0
733	1	1342430	6179
734	1	2306079	10664
735	0	18732794	0
736	1	1338112	6987
737	1	1286238	5954
738	0	20028715	0
739	1	1500056	6923
740	1	1794917	9435
741	0	19258259	0
742	1	1566158	7244
743	0	21414033	0
744	1	2372770	12461
745	1	2197764	10165
746	0	20332523	0
747	0	19597694	0
748	0	19421733	0
749	0	15524148	0
750	0	19501165	0
751	1	1671284	7729
752	0	19254801	0
753	1	1894863	8764
754	0	20175912	0
755	1	1569238	7235
756	0	18863863	0
757	0	18513243	0
758	0	21115713	0
759	0	20168906	0
760	0	20249053	0
761	0	15464107	0
762	1	2126733	9835
763	1	3442002	15880
764	0	18920775	0
765	0	19129418	0
766	1	2045538	9440
767	1	2448031	11291
768	0	22473575	0
769	1	2290920	10586
770	1	3528095	16266
771	0	19108392	0
772	1	2050309	9479
773	0	19242036	0
774	0	19658253	0
775	1	1644312	7597
776	1	2326074	10764
777	0	19522521	0
778	0	18899560	0
779	1	2070492	9576
780	1	1780264	8250
781	0	20535665	0
782	0	19227391	0
783	0	20501344	0
784	1	1434072	6607
785	0	18859547	0
786	0	20507872	0
787	1	1416359	6525
788	1	2402895	11063
789	0	18906065	0
790	1	2732578	12640
791	1	3601263	16668
792	0	19475031	0
793	0	22029606	0
794	1	3859627	17870
795	0	20553221	0
796	1	2547429	11769
797	1	2239320	10350
798	1	2130919	9832
799	0	19744869	0
800	0	21109025	0
801	0	19468919	0
802	1	1205026	5562
803	0	18777821	0
804	1	2032290	9329
805	0	19607077	0
806	1	1589818	7348
807	1	1955419	9040
808	0	20623383	0
809	1	2453927	11341
810	0	15672119	0
811	0	19491921	0
812	0	18809948	0
813	0	21518154	0
814	0	19082971	0
815	1	2160017	9990
816	1	2650022	12246
817	0	22079743	0
818	1	1532284	7090
819	1	2839127	13126
820	0	20077139	0
821	0	22514510	0
822	0	21301001	0
823	1	1970991	9090
824	1	27980	111
825	0	19956935	0
826	0	19980924	0
827	1	1604393	7412
828	0	22628910	0
829	1	2426347	11200
830	0	20332352	0
831	0	19972792	0
832	0	15717189	0
833	0	20963511	0
834	1	1523586	7028
835	0	22292834	0
836	0	21797730	0
837	1	1701974	7848
838	0	15736548	0
839	1	3589554	16578
840	0	19973382	0
841	0	21450708	0
842	1	1967090	10340
843	1	2828234	13019
844	1	2284413	10520
845	1	1961589	9025
846	1	1912091	8827
847	0	18969971	0
848	1	2003199	9207
849	0	19477178	0
850	1	2851688	13152
851	1	3955234	18293
852	0	18733775	0
853	1	1241173	5700
854	0	18878775	0
855	0	20406195	0
856	0	19913338	0
857	0	22303056	0
858	1	707537	3234
859	1	1980487	9066
860	1	1911479	8805
861	1	2141440	9841
862	0	21067694	0
863	1	1625458	7452
864	1	3399776	15649
865	1	2230904	10273
866	0	19790573	0
867	1	2260367	10396
868	1	1719559	7903
869	1	1881277	8656
870	0	20432501	0
871	0	22669458	0
872	1	2545177	11725
873	0	22861187	0
874	0	15348478	0
875	0	21481820	0
876	0	20920116	0
877	1	4032342	18580
878	1	1658685	7624
879	0	22262333	0
880	1	1255665	6592
881	1	1865890	8580
882	0	19748684	0
883	0	20670400	0
884	0	15077429	0
885	1	1268561	6658
886	1	2271797	10515
887	0	19410306	0
888	0	21446016	0
889	1	1769832	8162
890	0	19613692	0
891	1	2863491	13218
892	1	1607910	8455
893	1	2644760	12251
894	0	19064415	0
895	0	20022565	0
896	0	22714952	0
897	0	21081171	0
898	1	3350772	15452
899	1	3070381	14156
900	0	19252960	0
901	1	2356030	10894
902	1	1478937	6848
903	0	19053781	0
904	0	15403965	0
905	0	19664070	0
906	0	19108184	0
907	0	19810723	0
908	0	20144653	0
909	0	19645659	0
910	0	15619769	0
911	0	20014801	0
912	0	19685033	0
913	0	18504168	0
914	1	390820	1772
915	1	1824691	8425
916	1	1756069	8084
917	1	3413075	15777
918	0	18605933	0
919	0	18707139	0
920	1	2148952	9933
921	1	2855267	13222
922	1	2132256	11217
923	0	19902860	0
924	0	18903318	0
925	1	2168941	10023
926	1	1155735	5334
927	1	1236691	5714
928	1	643247	2972
929	1	2101488	9737
930	0	22126588	0
931	0	20380043	0
932	0	19004319	0
933	1	2135100	9877
934	0	18931843	0
935	1	2305076	10664
936	0	15743610	0
937	1	2219234	10265
938	0	18916592	0
939	0	19673758	0
940	0	19753945	0
941	1	2846425	13164
942	0	18591626	0
943	0	19553919	0
944	1	1993224	9167
945	1	3115857	14371
946	1	1563992	7207
947	0	19282499	0
948	1	2090179	9649
949	1	2074821	9597
950	1	2428986	11222
951	0	19378443	0
952	1	1818176	8394
953	1	1716365	7948
954	1	2392263	11040
955	1	2259204	10448
956	1	1660027	7673
957	1	2355620	10880
958	0	15485566	0
959	0	18969878	0
960	0	21504139	0
961	0	20294897	0
962	0	21187935	0
963	0	19633834	0
964	1	2009180	9271
965	0	20596607	0
966	0	15405388	0
967	1	3368083	15568
968	1	1887427	8732
969	0	20004413	0
970	0	19214572	0
971	1	2092547	9687
972	0	15643606	0
973	1	3000352	13867
974	0	18752285	0
975	0	19213777	0
976	0	18884176	0
977	1	2150322	9911
978	0	15506161	0
979	1	1853639	8554
980	0	20346579	0
981	1	1314672	6042
982	0	22166957	0
983	1	2092346	9657
984	1	466564	2127
985	0	19690809	0
