# N  = 783061
# Nc = 200
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	23575131	69104572
1	1	23505729	68889175
2	0	53194895	0
3	0	53157722	0
4	0	52980884	0
5	1	23606846	69117143
6	0	53010133	0
7	0	52874790	0
8	0	52842863	0
9	0	52717652	0
10	0	52758213	0
11	0	52846116	0
12	1	23477865	69017627
13	1	23476797	68965944
14	1	23443847	68846640
15	1	23486534	68999734
16	1	23375821	68814145
17	0	52713127	0
18	1	23341397	68613973
19	1	23453714	68841993
20	0	52813183	0
21	0	52814684	0
22	1	23454142	68953357
23	1	23358944	68705223
24	0	52833171	0
25	0	52787252	0
26	1	23395443	68835522
27	0	52722111	0
28	0	52768770	0
29	1	23371142	68701614
30	1	23399647	68733728
31	0	52742758	0
32	0	52675991	0
33	0	52815177	0
34	0	52721111	0
35	0	52758951	0
36	1	23354757	68625209
37	0	52757559	0
38	1	23391504	68526719
39	1	23448407	68727999
40	0	52778282	0
41	1	23439368	68797512
42	1	23418413	68903560
43	1	23484248	68952362
44	0	52731887	0
45	1	23410002	68675355
46	1	23421726	68856662
47	1	23446543	68842712
48	1	23386694	68826723
49	0	52721929	0
50	0	52766972	0
51	1	23437455	68858812
52	0	52697460	0
53	0	52932176	0
54	0	52695954	0
55	1	23412747	68739459
56	0	52837085	0
57	1	23491767	68897264
58	1	23395489	68708197
59	0	52795248	0
60	0	52731837	0
61	1	23416459	68787813
62	1	23397716	68764513
63	1	23411581	68696277
64	1	23447269	68926791
65	0	52710473	0
66	1	23455136	68824923
67	0	52832218	0
68	1	23439788	68846831
69	1	23436535	68837871
70	1	23422203	68798828
71	0	53021336	0
72	1	23503606	68944444
73	1	23485297	68900873
74	0	53027190	0
75	0	52864818	0
76	0	53134028	0
77	1	23542056	69138706
78	0	52942414	0
79	0	52775963	0
80	1	23444484	68929062
81	1	23390711	68679406
82	1	23367328	68601767
83	1	23468898	68904104
84	1	23495415	68982472
85	0	52975576	0
86	1	23518457	69045792
87	1	23463888	68939822
88	1	23603951	69228313
89	0	53018140	0
90	1	23483995	68654302
91	1	23467156	68534782
92	1	23474294	68631406
93	1	23463323	68584437
94	1	23539803	68775126
95	1	23590836	68890085
96	1	23505342	68716135
97	0	52938373	0
98	1	23551098	68865451
99	1	23457242	68583021
100	1	23479755	68689978
101	1	23517740	68725339
102	0	52927243	0
103	1	23562556	68811203
104	1	23553808	68822097
105	1	23554035	68815226
106	1	23532779	68816100
107	1	23537498	68730275
108	1	23572849	68714907
109	1	23549692	68805077
110	1	23501312	68679754
111	1	23520248	68752986
112	1	23568385	68796235
113	1	23527615	68761254
114	1	23478206	68689282
115	1	23508597	68715858
116	1	23538379	68825531
117	1	23502869	68750615
118	1	23528832	68769637
119	1	23565998	68936564
120	0	53050669	0
121	0	52970504	0
122	1	23480238	68651236
123	1	23498321	68591676
124	1	23502506	68579095
125	0	52975915	0
126	0	52728748	0
127	1	23584122	69095854
128	1	23562123	68935282
129	1	23511699	68761573
130	1	23549899	68942297
131	1	23511207	68845358
132	1	23502597	68647965
133	0	53011703	0
134	1	23544820	69005983
135	1	23482185	68920987
136	0	52992938	0
137	1	23527820	69035856
138	1	23554315	68970185
139	1	23520128	68930787
140	1	23483303	68958843
141	0	52918653	0
142	1	23464114	68916746
143	1	23508844	69007802
144	1	23480583	68895232
145	1	23487875	68936657
146	1	23523770	68959824
147	1	23526558	69051358
148	1	23444965	68780759
149	1	23487433	68915866
150	1	23542187	69108493
151	1	23467574	68951701
152	0	52941554	0
153	0	52943941	0
154	1	23415130	68713068
155	1	23441581	68859551
156	1	23412405	68750662
157	0	52888883	0
158	1	23396218	68386838
159	1	23495653	68956573
160	0	53001219	0
161	1	23565579	69130268
162	1	23560117	69106728
163	0	53034301	0
164	1	23413173	68475040
165	0	52850753	0
166	1	23482513	69037591
167	1	23473695	68951393
168	0	53006051	0
169	1	23530471	69029094
170	0	52998115	0
171	1	23559215	68813241
172	1	23570204	68757141
173	0	52948537	0
174	0	52924546	0
175	0	52729885	0
176	1	23466752	68839280
177	1	23436104	68769378
178	1	23493210	68910691
179	1	23514454	68898639
180	1	23516475	68887802
181	1	23545509	68930243
182	0	53026400	0
183	1	23581170	68947353
184	1	23478025	68671008
185	0	52885580	0
186	0	53105946	0
187	1	23431349	68462619
188	1	23500841	68812997
189	0	53001014	0
190	1	23468478	68788738
191	1	23535917	68871961
192	1	23567172	68952325
193	1	23556797	68983980
194	0	52977641	0
195	1	23418803	68734276
196	1	23501332	68695156
197	0	52923916	0
198	1	23512833	68798021
199	0	53052889	0
