# N  = 8783777
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 200.239
#
# run	success	duration[mus]	usedSteps
0	1	108885696	697410559
1	1	88699927	644628773
2	1	88816114	645819487
3	1	89002358	677536681
4	1	108961334	562179669
5	1	101627969	682893981
6	1	90570455	705283007
7	1	88822024	645346812
8	1	88993493	668874993
9	1	88919714	676286317
10	1	88925761	646030299
11	1	114076441	589772443
12	1	123325142	630049414
13	1	109348966	563737200
14	1	119467530	481628563
15	1	112157880	579269305
16	1	113379039	579536528
17	0	199432957	0
18	1	104247173	538901144
19	1	88726633	676870161
